item_id,admlog_id,vertical,action,to_moderation_datetime,action_datetime,user_group,user_id,ModerSourceEventType
6084564,157777059072,Goods,allowed,2024-09-15T11:06:51,2024-09-15T11:07:54.661000,cron,1600257,activation
6189394,156029638534,Goods,allowed,2024-09-03T12:46:57,2024-09-03T12:48:02.517000,cron,5253764,activation
6414429,157755205500,Goods,allowed,2024-09-15T10:06:50,2024-09-15T10:07:55.443000,cron,353250301,activation
6635524,156671909725,Services,allowed,2024-09-07T12:10:11,2024-09-07T12:11:16.020000,cron,2510612,activation
7287494,156880740177,Goods,allowed,2024-09-09T08:15:51,2024-09-09T08:16:56.982000,cron,103750108,activation
7296854,158959352599,Goods,allowed,2024-09-23T08:55:45,2024-09-23T08:56:51.277000,cron,2059,activation
8136599,157965238743,Goods,allowed,2024-09-16T17:32:21,2024-09-16T17:33:25.972000,cron,1610490,activation
8136599,158129920556,Goods,allowed,2024-09-17T17:45:04,2024-09-17T17:59:04.100000,cron,1610490,activation
9075324,158326042075,Goods,allowed,2024-09-18T21:30:30,2024-09-18T21:31:33.668000,cron,1549063,activation
9260179,157944271108,Goods,allowed,2024-09-16T12:21:00,2024-09-16T13:40:07.184000,SPBModeration.Adaptation,1511687,activation
9513959,159949973669,Goods,allowed,2024-09-29T13:19:30,2024-09-29T13:20:32.317000,cron,4002636,activation
9538694,157758156606,Goods,allowed,2024-09-15T09:47:54,2024-09-15T09:48:57.994000,cron,1524226,activation
10513624,157058303457,Goods,allowed,2024-09-10T07:13:39,2024-09-10T07:14:45.680000,cron,100500160,activation
10531019,160086002244,Goods,allowed,2024-09-30T07:56:34,2024-09-30T07:57:46.415000,cron,1251064,activation
10561299,155795082742,Services,allowed,2024-09-01T23:45:25,2024-09-01T23:46:31.667000,cron,2510447,update
10561299,156537624996,Services,allowed,2024-09-06T14:09:24,2024-09-06T14:10:30.996000,cron,2510447,activation
10561704,157932116043,Goods,allowed,2024-09-16T12:31:15,2024-09-16T12:32:33.781000,cron,1529447,activation
11027984,155945699146,Goods,allowed,2024-09-02T21:16:44,2024-09-02T21:17:49.652000,cron,2038886,activation
11621179,158590892311,Goods,allowed,2024-09-20T17:45:42,2024-09-20T17:46:49.421000,cron,383325546,activation
12007654,159912840145,Goods,allowed,2024-09-29T08:00:57,2024-09-29T08:01:59.826000,cron,506981,activation
12009569,156033849425,Goods,allowed,2024-09-03T14:40:09,2024-09-03T14:41:12.499000,cron,1759311,activation
12256234,158282043181,Goods,allowed,2024-09-18T15:02:10,2024-09-18T15:03:14.897000,cron,365823572,activation
12286314,158003798019,Goods,allowed,2024-09-16T22:31:04,2024-09-16T22:32:11.262000,cron,1612344,update
12286314,158177053622,Goods,allowed,2024-09-17T21:57:50,2024-09-17T21:58:55.468000,cron,1612344,activation
12586514,155882805354,Goods,allowed,2024-09-02T14:26:39,2024-09-02T14:27:45.004000,cron,2019547,activation
12764199,158967330376,Goods,allowed,2024-09-23T09:58:57,2024-09-23T10:00:02.373000,cron,369558813,activation
13285059,156566412203,Goods,allowed,2024-09-06T20:51:47,2024-09-06T20:52:56.292000,cron,371530311,activation
13521049,156360084694,Goods,allowed,2024-09-05T13:24:14,2024-09-05T13:25:20.166000,cron,1531131,activation
13533869,158417826503,Goods,allowed,2024-09-19T13:30:05,2024-09-19T13:31:11.446000,cron,3505900,activation
14024764,156481414855,Goods,allowed,2024-09-06T10:25:08,2024-09-06T10:26:12.633000,cron,376912246,update
14024764,157511618164,Goods,allowed,2024-09-13T09:47:17,2024-09-13T09:48:20.267000,cron,376912246,activation
14312164,155801456990,Goods,allowed,2024-09-02T04:09:44,2024-09-02T04:10:52.251000,cron,765596,activation
15018389,155734484215,Goods,allowed,2024-09-01T14:34:35,2024-09-01T14:35:40.965000,cron,2503869,activation
16753559,159190269867,Goods,allowed,2024-09-24T18:44:06,2024-09-24T18:45:08.793000,cron,110250010,activation
16758909,160185571697,Goods,allowed,2024-09-30T18:50:18,2024-09-30T18:51:20.131000,cron,6501554,activation
18758934,156476423179,Goods,allowed,2024-09-06T10:28:41,2024-09-06T10:29:47.825000,cron,2084670,activation
19250314,157289858349,Goods,allowed,2024-09-11T18:32:00,2024-09-11T18:33:06.095000,cron,148750023,activation
21015739,157647057563,Goods,allowed,2024-09-14T12:09:54,2024-09-14T12:10:59.945000,cron,1911700,activation
21251109,157888889795,Goods,allowed,2024-09-16T08:11:16,2024-09-16T08:12:24.566000,cron,1789031,activation
21813819,157135927283,Goods,allowed,2024-09-10T17:14:40,2024-09-10T17:15:55.562000,cron,204500135,activation
22254274,158314445425,Goods,allowed,2024-09-18T20:45:52,2024-09-18T20:47:02.141000,cron,1775629,update
22254274,159162109207,Goods,allowed,2024-09-24T13:55:10,2024-09-24T13:56:16.379000,cron,1775629,activation
22287739,156890153620,Goods,allowed,2024-09-09T07:38:23,2024-09-09T07:39:27.329000,cron,369407957,activation
22750784,155751469134,Goods,allowed,2024-09-01T17:58:38,2024-09-01T17:59:49.614000,cron,1751057,activation
22801234,157995053409,Realty,allowed,2024-09-16T19:20:01,2024-09-16T19:21:06.184000,cron,6250024,activation
23251234,160023545295,Goods,allowed,2024-09-29T19:20:28,2024-09-29T19:21:45.696000,cron,1501788,activation
25502159,157867334885,Goods,allowed,2024-09-16T06:10:32,2024-09-16T06:11:36.304000,cron,368929798,activation
26255134,159596309913,Services,allowed,2024-09-27T01:56:02,2024-09-27T01:57:04.711000,cron,369359626,update
26507489,156996706182,Goods,allowed,2024-09-09T21:49:49,2024-09-09T21:50:56.285000,cron,18250503,activation
26520139,156177307422,Goods,allowed,2024-09-04T10:15:35,2024-09-04T10:16:41.339000,cron,95250209,update
26520139,158676290758,Goods,allowed,2024-09-21T07:07:51,2024-09-21T07:08:56.086000,cron,95250209,activation
27752644,156507106097,Goods,allowed,2024-09-06T08:43:33,2024-09-06T08:44:37.779000,cron,2047405,activation
28010184,159926985690,Goods,allowed,2024-09-29T11:22:10,2024-09-29T11:23:13.059000,cron,7854,activation
28266329,158694088760,Goods,allowed,2024-09-21T09:18:56,2024-09-21T09:20:03.391000,cron,1907897,activation
28293724,159736477856,Goods,allowed,2024-09-28T00:08:37,2024-09-28T00:09:40.373000,cron,521257,activation
29003404,157501749249,Goods,allowed,2024-09-13T10:44:10,2024-09-13T10:45:16.852000,cron,1784178,activation
30252554,158443288903,Goods,allowed,2024-09-19T16:20:06,2024-09-19T16:21:12.795000,cron,48500347,update
35002689,155794780451,Goods,allowed,2024-09-01T23:09:30,2024-09-01T23:10:37.974000,cron,2015124,activation
37004839,158568784323,Goods,allowed,2024-09-20T12:49:10,2024-09-20T12:50:17.964000,cron,75500177,activation
38005239,157232867842,Goods,allowed,2024-09-11T10:05:16,2024-09-11T10:06:20.623000,cron,216750070,activation
38524129,159974435916,Goods,allowed,2024-09-29T13:04:45,2024-09-29T13:05:46.044000,cron,1836627,activation
38759844,158524702764,Goods,allowed,2024-09-20T09:02:14,2024-09-20T09:27:21.719000,cron,1907897,activation
39751089,158538038472,Goods,allowed,2024-09-20T08:03:13,2024-09-20T08:04:19.879000,cron,1003425,activation
40501059,157994131849,Goods,allowed,2024-09-16T19:48:17,2024-09-16T19:49:23.666000,cron,3259828,activation
40501389,156656881792,Goods,allowed,2024-09-07T14:11:49,2024-09-07T14:12:53.295000,cron,501211,activation
42502759,158531214551,Goods,allowed,2024-09-20T09:13:04,2024-09-20T09:37:42.874000,cron,39000618,activation
43502729,156247280242,Goods,allowed,2024-09-04T19:19:42,2024-09-04T19:20:47.840000,cron,170000529,activation
44519849,157094527564,Goods,allowed,2024-09-10T12:04:15,2024-09-10T12:05:20.388000,cron,4250261,activation
45755219,155975062509,Goods,allowed,2024-09-03T02:03:25,2024-09-03T02:04:34.565000,cron,1845937,activation
49751039,155793267409,Goods,allowed,2024-09-01T23:00:21,2024-09-01T23:01:25.617000,cron,2015124,activation
54004699,155847001602,Goods,allowed,2024-09-02T09:12:32,2024-09-02T09:13:35.417000,cron,223500083,activation
54750974,157928428079,Goods,allowed,2024-09-16T12:59:42,2024-09-16T13:00:46.548000,cron,184750043,activation
55015814,157767439745,Goods,allowed,2024-09-15T15:02:50,2024-09-15T15:03:55.618000,cron,1000086,activation
58003904,159999520042,Goods,allowed,2024-09-30T00:27:21,2024-09-30T00:28:23.449000,cron,750625,activation
58006559,155727227371,Goods,allowed,2024-09-01T11:58:19,2024-09-01T11:59:24.582000,cron,151750520,activation
78001079,157671313440,Goods,allowed,2024-09-14T14:43:56,2024-09-14T14:45:01.267000,cron,1798478,activation
78001079,158325506255,Goods,allowed,2024-09-18T21:15:07,2024-09-18T21:16:13.888000,cron,1798478,update
78001079,158352619844,Goods,allowed,2024-09-19T03:19:10,2024-09-19T03:20:18.685000,cron,1798478,update
84500814,156542353433,Goods,allowed,2024-09-06T16:42:59,2024-09-06T16:44:04.686000,cron,61000073,activation
101003254,156483928791,Goods,allowed,2024-09-06T12:34:31,2024-09-06T12:35:42.812000,cron,34000157,activation
101003254,156642955516,Goods,allowed,2024-09-07T08:48:12,2024-09-07T08:49:18.839000,cron,34000157,update
103752779,156342856726,Goods,allowed,2024-09-05T11:42:18,2024-09-05T11:43:23.805000,cron,2004929,update
110500339,156543248321,Goods,allowed,2024-09-06T17:51:50,2024-09-06T17:52:53.884000,cron,365590351,activation
110750234,158939897969,Goods,allowed,2024-09-23T07:40:50,2024-09-23T07:41:55.422000,cron,1789031,activation
114500774,158519766495,Goods,allowed,2024-09-20T07:54:02,2024-09-20T07:55:07.432000,cron,1518611,activation
116001284,158083035157,Goods,allowed,2024-09-17T10:43:17,2024-09-17T10:44:20.358000,cron,1767909,activation
117000599,159924574349,Goods,allowed,2024-09-29T10:07:03,2024-09-29T10:08:04.818000,cron,256727,activation
120001454,159196160632,Goods,allowed,2024-09-24T21:02:53,2024-09-24T21:03:56.242000,cron,2041615,activation
137501089,156887203662,Goods,allowed,2024-09-09T09:18:19,2024-09-09T09:19:23.648000,cron,761217,activation
145500799,156064369908,Goods,allowed,2024-09-03T18:28:13,2024-09-03T18:29:20.092000,cron,385240949,activation
156750759,158826601147,Goods,allowed,2024-09-22T13:08:15,2024-09-22T13:09:19.860000,cron,1514048,activation
172752214,157407877566,Goods,allowed,2024-09-12T13:08:15,2024-09-12T13:09:20.219000,cron,163500590,activation
176000869,155807760380,Goods,allowed,2024-09-02T00:49:20,2024-09-02T00:50:25.907000,cron,167250021,activation
183509964,158714865495,Goods,allowed,2024-09-21T15:33:45,2024-09-21T15:34:51.822000,cron,389898880,activation
193752884,159854918360,Goods,allowed,2024-09-28T20:53:40,2024-09-28T20:54:42.480000,cron,2750397,activation
234751169,158298666847,Goods,allowed,2024-09-18T16:46:20,2024-09-18T17:23:31.563000,cron,2032003,activation
235001299,158716775029,Goods,allowed,2024-09-21T14:45:34,2024-09-21T14:46:39.272000,cron,3262391,activation
271500809,157949179258,Goods,allowed,2024-09-16T14:51:28,2024-09-16T14:52:33.379000,cron,221500480,activation
271750574,157740365941,Goods,allowed,2024-09-15T05:06:25,2024-09-15T05:07:34.655000,cron,1823271,update
274501084,159441480921,Goods,allowed,2024-09-26T09:49:35,2024-09-26T09:50:36.438000,cron,1522242,activation
279423329,156765148159,Goods,allowed,2024-09-08T11:46:21,2024-09-08T11:47:27.055000,cron,364881610,activation
287662069,158160503854,Realty,allowed,2024-09-17T21:29:45,2024-09-17T21:30:49.826000,cron,364922730,activation
287662069,158152763493,Realty,allowed,2024-09-17T21:37:34,2024-09-17T21:38:39.270000,cron,364922730,update
298885524,156671954209,Goods,allowed,2024-09-07T12:36:27,2024-09-07T12:37:33.130000,cron,366238676,update
298885524,159206257124,Goods,allowed,2024-09-24T20:09:00,2024-09-24T20:10:00.959000,cron,366238676,activation
305165364,156145942484,Services,allowed,2024-09-04T08:10:29,2024-09-04T08:11:32.556000,cron,366731839,activation
308095714,159513113672,Goods,allowed,2024-09-26T16:54:01,2024-09-26T16:55:03.115000,cron,379567107,activation
309904229,157065903652,Goods,allowed,2024-09-10T09:30:22,2024-09-10T09:31:27.104000,cron,368283410,activation
309904229,157939276565,Goods,allowed,2024-09-16T13:42:27,2024-09-16T13:43:30.704000,cron,368283410,update
309904229,157954042083,Goods,allowed,2024-09-16T13:48:52,2024-09-16T13:49:58.110000,cron,368283410,update
309945979,158580501613,Goods,allowed,2024-09-20T14:51:36,2024-09-20T14:52:43.363000,cron,1004300,activation
311616064,157562422023,Goods,allowed,2024-09-13T17:25:46,2024-09-13T17:26:50.561000,cron,61000139,activation
311920129,158640502558,Transport,allowed,2024-09-20T22:45:02,2024-09-20T22:46:11.118000,cron,369296987,update
311920129,158653816983,Transport,allowed,2024-09-21T01:58:15,2024-09-21T01:59:23.127000,cron,369296987,activation
313741189,157212154530,Goods,allowed,2024-09-11T07:08:51,2024-09-11T07:09:57.400000,cron,351000294,activation
315836924,155914254343,Services,allowed,2024-09-02T19:42:59,2024-09-02T19:44:04.364000,cron,3252402,update
315836924,157440507980,Services,allowed,2024-09-12T20:28:06,2024-09-12T20:29:11.437000,cron,3252402,activation
316999259,157082611044,Goods,allowed,2024-09-10T10:55:30,2024-09-10T10:56:35.957000,cron,364982351,activation
318920184,156602688147,Goods,allowed,2024-09-07T05:14:33,2024-09-07T05:15:42.169000,cron,19500300,activation
321010654,156408951324,Goods,allowed,2024-09-05T20:20:43,2024-09-05T20:21:49.316000,cron,20750267,activation
321871584,158251066283,Goods,allowed,2024-09-18T11:29:02,2024-09-18T11:31:18.911000,cron,369455943,update
321871584,159298389659,Goods,allowed,2024-09-25T10:24:50,2024-09-25T10:25:52.404000,cron,369455943,activation
323689789,157564264400,Goods,allowed,2024-09-13T18:07:11,2024-09-13T18:08:16.429000,cron,369674340,activation
327484659,156153945153,Goods,allowed,2024-09-04T09:39:06,2024-09-04T09:40:10.611000,cron,1754442,activation
330328829,155725287029,Goods,allowed,2024-09-01T10:07:34,2024-09-01T10:08:37.724000,cron,365283249,update
330328829,155839247420,Goods,allowed,2024-09-02T10:30:05,2024-09-02T10:31:13.275000,cron,365283249,update
330328829,157504368384,Goods,allowed,2024-09-13T09:47:12,2024-09-13T09:48:18.303000,cron,365283249,update
330328829,158924337145,Goods,allowed,2024-09-23T02:56:59,2024-09-23T02:58:04.614000,cron,365283249,update
331035899,155746757827,Goods,allowed,2024-09-01T14:51:37,2024-09-01T14:52:42.335000,cron,44000044,activation
331462359,157746716871,Services,allowed,2024-09-15T07:35:47,2024-09-15T07:36:53.278000,cron,366370678,activation
331923929,157529278827,Goods,allowed,2024-09-13T13:21:44,2024-09-13T13:22:53.843000,cron,365001295,activation
331923929,157527814686,Goods,allowed,2024-09-13T13:43:54,2024-09-13T13:45:00.375000,cron,365001295,update
334975009,158068522990,Realty,allowed,2024-09-17T13:01:57,2024-09-17T13:03:01.852000,cron,372267427,activation
335807074,157690984072,Services,allowed,2024-09-14T21:21:39,2024-09-14T21:22:47.247000,cron,371498589,activation
337438559,157163417533,Goods,allowed,2024-09-10T20:39:03,2024-09-10T20:40:07.582000,cron,372321776,activation
338531064,159161870131,Goods,allowed,2024-09-24T15:27:01,2024-09-24T15:29:50.636000,cron,2056392,activation
340955194,157553220668,Goods,allowed,2024-09-13T17:48:40,2024-09-13T17:50:06.071000,cron,63500045,activation
342680674,157581937221,Goods,allowed,2024-09-13T20:35:21,2024-09-13T20:36:26.678000,cron,1557458,activation
350723444,159025975492,Goods,allowed,2024-09-23T20:19:09,2024-09-23T20:20:13.467000,cron,236500279,activation
354655154,157620617890,Goods,allowed,2024-09-14T04:43:46,2024-09-14T04:44:51.077000,cron,12000318,activation
355542474,157482237589,Goods,allowed,2024-09-13T07:00:47,2024-09-13T07:01:52.103000,cron,1771853,activation
356901189,157755247696,Goods,allowed,2024-09-15T10:31:03,2024-09-15T10:32:08.603000,cron,366983439,activation
376192064,158439187832,Goods,allowed,2024-09-19T17:21:50,2024-09-19T17:22:54.658000,cron,374225718,activation
377084499,159523970862,Goods,allowed,2024-09-26T17:39:46,2024-09-26T17:40:49.696000,cron,368458926,update
378868864,156236989653,Goods,allowed,2024-09-04T19:03:31,2024-09-04T19:04:53.158000,cron,369785470,activation
382322719,159682456308,Goods,allowed,2024-09-27T17:24:43,2024-09-27T17:25:46.611000,cron,376338668,activation
382782734,159155393188,Goods,allowed,2024-09-24T15:37:31,2024-09-24T15:39:08.179000,cron,376141675,activation
382782734,159460538187,Goods,allowed,2024-09-26T13:25:03,2024-09-26T13:26:05.777000,cron,376141675,update
385844819,160101082003,Goods,allowed,2024-09-30T09:30:34,2024-09-30T09:31:42.343000,cron,368086198,update
387111494,156363722682,Goods,allowed,2024-09-05T14:27:49,2024-09-05T14:28:55.250000,cron,371557869,update
387111494,159695808240,Goods,allowed,2024-09-27T18:07:43,2024-09-27T18:08:46.378000,cron,371557869,activation
387304784,160156528899,Goods,allowed,2024-09-30T16:07:59,2024-09-30T16:10:24.811000,cron,9257,activation
389451019,155992282790,Goods,allowed,2024-09-03T14:05:05,2024-09-03T14:06:09.401000,cron,3262391,activation
390901509,157311078088,Goods,allowed,2024-09-11T21:44:59,2024-09-11T21:46:06.426000,cron,376925616,activation
393231999,158709445469,Goods,allowed,2024-09-21T14:10:19,2024-09-21T14:11:23.940000,cron,252557,activation
402289289,155917638852,Goods,allowed,2024-09-02T20:45:28,2024-09-02T20:46:34.519000,cron,370138912,activation
402289289,157810176177,Goods,allowed,2024-09-15T17:34:24,2024-09-15T17:35:32.008000,cron,370138912,update
405079504,159086253644,Goods,allowed,2024-09-24T01:52:55,2024-09-24T01:54:00.901000,cron,373034374,activation
405079504,159318266087,Goods,allowed,2024-09-25T13:06:31,2024-09-25T13:07:33.768000,cron,373034374,update
405079504,159449878504,Goods,allowed,2024-09-26T10:40:13,2024-09-26T10:41:15.411000,cron,373034374,update
407654009,156371040855,Goods,allowed,2024-09-05T14:57:20,2024-09-05T14:58:25.206000,cron,383194509,activation
410997884,156875483517,Goods,allowed,2024-09-09T06:11:04,2024-09-09T06:12:08.936000,cron,374792083,activation
411620904,156331312089,Goods,allowed,2024-09-05T09:46:23,2024-09-05T09:47:29.544000,cron,370486388,activation
416061344,157743217896,Realty,allowed,2024-09-15T07:35:55,2024-09-15T07:37:00.428000,cron,382657252,activation
418779009,156467334961,Realty,allowed,2024-09-06T06:42:47,2024-09-06T06:43:51.005000,cron,290500075,update
418779009,159515028809,Realty,allowed,2024-09-26T16:17:46,2024-09-26T16:18:49.633000,cron,290500075,activation
422955709,159136462236,Goods,allowed,2024-09-24T12:56:54,2024-09-24T12:57:59.427000,cron,370764677,activation
424162329,157512868542,Goods,allowed,2024-09-13T11:47:16,2024-09-13T11:48:21.070000,cron,376078335,activation
425640394,157111951644,Vacancies,allowed,2024-09-10T15:25:13,2024-09-10T15:26:18.396000,cron,368957679,update
431821199,156762909511,Services,allowed,2024-09-08T09:43:15,2024-09-08T09:44:20.083000,cron,385784419,activation
434781489,160205874398,Goods,allowed,2024-09-30T22:18:15,2024-09-30T22:19:17.372000,cron,365238293,activation
434836964,157981724861,Realty,allowed,2024-09-16T18:51:55,2024-09-16T18:53:00.814000,cron,366853626,activation
436996584,157772135828,Realty,allowed,2024-09-15T11:54:10,2024-09-15T11:55:15.303000,cron,385665374,activation
438348829,155757232434,Goods,allowed,2024-09-01T18:04:46,2024-09-01T18:05:52.824000,cron,210000353,activation
438443639,158368908642,Goods,allowed,2024-09-19T07:32:33,2024-09-19T07:33:52.293000,cron,388720053,activation
440863399,156630901756,Goods,allowed,2024-09-07T14:24:34,2024-09-07T14:25:39.863000,cron,387306624,activation
440863399,158936585680,Goods,allowed,2024-09-23T10:01:03,2024-09-23T10:02:08.821000,cron,387306624,update
440863399,158963368918,Goods,allowed,2024-09-23T10:11:37,2024-09-23T10:12:42.673000,cron,387306624,update
440863399,159036770388,Goods,allowed,2024-09-23T19:11:34,2024-09-23T19:12:40.686000,cron,387306624,update
440863399,159100481829,Goods,allowed,2024-09-24T09:55:45,2024-09-24T09:56:50.797000,cron,387306624,update
441029939,157175091295,Goods,allowed,2024-09-10T21:56:16,2024-09-10T21:57:22.945000,cron,50750169,activation
445306744,157360048441,Goods,allowed,2024-09-12T01:55:54,2024-09-12T01:57:05.436000,cron,387566655,activation
449216149,157429963737,Goods,allowed,2024-09-12T17:54:45,2024-09-12T17:55:50.169000,cron,384873654,activation
449504954,155765250692,Realty,allowed,2024-09-01T18:12:07,2024-09-01T18:13:12.673000,cron,376861235,activation
449504954,157038651777,Realty,allowed,2024-09-10T04:54:00,2024-09-10T04:55:09.939000,cron,376861235,update
725250214,157753051924,Goods,allowed,2024-09-15T08:44:25,2024-09-15T08:45:32.451000,cron,219500702,activation
815751899,158287015151,Goods,allowed,2024-09-18T14:39:07,2024-09-18T14:50:32.015000,cron,2028496,update
1022000344,156744540908,Goods,allowed,2024-09-08T01:42:00,2024-09-08T01:43:09.125000,cron,211750015,activation
1088500054,156212632472,Goods,allowed,2024-09-04T14:33:06,2024-09-04T14:34:10.651000,cron,2147593,activation
1290500694,159115088977,Goods,allowed,2024-09-24T12:06:59,2024-09-24T12:08:02.941000,cron,272500020,update
1952501509,155707783363,Goods,allowed,2024-09-01T07:34:18,2024-09-01T07:35:22.402000,cron,1767500020,activation
2035750364,155958397418,Goods,allowed,2024-09-02T20:49:47,2024-09-02T20:50:52.854000,cron,68250133,activation
2042751419,156158815765,Goods,allowed,2024-09-04T08:55:39,2024-09-04T08:56:45.133000,cron,112500034,activation
2042751419,159557650495,Goods,allowed,2024-09-26T18:40:02,2024-09-26T18:41:08.053000,cron,112500034,update
2077751574,158861093245,Goods,allowed,2024-09-22T16:38:36,2024-09-22T16:39:44.510000,cron,124000065,activation
2077751574,159180035611,Goods,allowed,2024-09-24T17:34:00,2024-09-24T17:35:00.782000,cron,124000065,update
2143250674,158604871523,Goods,allowed,2024-09-20T19:26:14,2024-09-20T19:27:19.875000,cron,373762610,activation
2144500564,158071852431,Goods,allowed,2024-09-17T07:50:28,2024-09-17T07:51:32.674000,cron,230000137,activation
2296501654,157145344220,Goods,allowed,2024-09-10T20:03:08,2024-09-10T20:04:15.900000,cron,1565280,activation
2298001444,156354493456,Goods,allowed,2024-09-05T14:36:48,2024-09-05T14:37:53.472000,cron,161250348,activation
2346502554,157474038145,Goods,allowed,2024-09-12T22:59:59,2024-09-12T23:01:05.804000,cron,3753785,activation
2546250654,159514249985,Goods,allowed,2024-09-26T17:53:02,2024-09-26T17:54:04.588000,cron,371679874,activation
2624003114,157647652200,Goods,allowed,2024-09-14T13:03:12,2024-09-14T13:04:18.104000,cron,1566418,activation
2668003119,156479089901,Services,allowed,2024-09-06T09:57:54,2024-09-06T09:58:59.687000,cron,2472250259,update
2688751604,155828386659,Goods,allowed,2024-09-02T06:59:06,2024-09-02T07:00:11.717000,cron,1506279,activation
2731000874,157391310995,Goods,allowed,2024-09-12T08:57:02,2024-09-12T08:58:06.055000,cron,1625622,activation
2731000874,157805315574,Goods,allowed,2024-09-15T16:32:12,2024-09-15T16:33:16.548000,cron,1625622,update
2756000674,157863638304,Goods,allowed,2024-09-16T06:34:53,2024-09-16T06:35:58.530000,cron,387026543,activation
