item_id,admlog_id,vertical,action,to_moderation_datetime,action_datetime,user_group,user_id,ModerSourceEventType,moderation_duration,moderation_type
4076949,158248454231,Goods,allowed,2024-09-18 10:46:21,2024-09-18 10:47:28,cron,1529876,activation,0 days 00:01:07,ML
4146459,156418116163,Goods,allowed,2024-09-05 21:20:27,2024-09-05 21:21:32,cron,211000233,activation,0 days 00:01:05,ML
4168464,156140870665,Goods,allowed,2024-09-04 10:43:24,2024-09-04 10:44:29,cron,1772393,activation,0 days 00:01:05,ML
4432199,157240199870,Goods,allowed,2024-09-11 10:33:22,2024-09-11 10:34:29,cron,2017784,activation,0 days 00:01:07,ML
6077974,156480901236,Services,allowed,2024-09-06 10:17:40,2024-09-06 10:18:47,cron,39250087,activation,0 days 00:01:07,ML
6084564,157777059072,Goods,allowed,2024-09-15 11:06:51,2024-09-15 11:07:54,cron,1600257,activation,0 days 00:01:03,ML
6189394,156029638534,Goods,allowed,2024-09-03 12:46:57,2024-09-03 12:48:02,cron,5253764,activation,0 days 00:01:05,ML
6414429,157755205500,Goods,allowed,2024-09-15 10:06:50,2024-09-15 10:07:55,cron,353250301,activation,0 days 00:01:05,ML
6635524,156671909725,Services,allowed,2024-09-07 12:10:11,2024-09-07 12:11:16,cron,2510612,activation,0 days 00:01:05,ML
7287494,156880740177,Goods,allowed,2024-09-09 08:15:51,2024-09-09 08:16:56,cron,103750108,activation,0 days 00:01:05,ML
7296854,158959352599,Goods,allowed,2024-09-23 08:55:45,2024-09-23 08:56:51,cron,2059,activation,0 days 00:01:06,ML
8136599,157965238743,Goods,allowed,2024-09-16 17:32:21,2024-09-16 17:33:25,cron,1610490,activation,0 days 00:01:04,ML
8136599,158129920556,Goods,allowed,2024-09-17 17:45:04,2024-09-17 17:59:04,cron,1610490,activation,0 days 00:14:00,ML
9075324,158326042075,Goods,allowed,2024-09-18 21:30:30,2024-09-18 21:31:33,cron,1549063,activation,0 days 00:01:03,ML
9260179,157944271108,Goods,allowed,2024-09-16 12:21:00,2024-09-16 13:40:07,SPBModeration.Adaptation,1511687,activation,0 days 01:19:07,manual
9513959,159949973669,Goods,allowed,2024-09-29 13:19:30,2024-09-29 13:20:32,cron,4002636,activation,0 days 00:01:02,ML
9538694,157758156606,Goods,allowed,2024-09-15 09:47:54,2024-09-15 09:48:57,cron,1524226,activation,0 days 00:01:03,ML
10513624,157058303457,Goods,allowed,2024-09-10 07:13:39,2024-09-10 07:14:45,cron,100500160,activation,0 days 00:01:06,ML
10531019,160086002244,Goods,allowed,2024-09-30 07:56:34,2024-09-30 07:57:46,cron,1251064,activation,0 days 00:01:12,ML
10561299,155795082742,Services,allowed,2024-09-01 23:45:25,2024-09-01 23:46:31,cron,2510447,update,0 days 00:01:06,ML
10561299,156537624996,Services,allowed,2024-09-06 14:09:24,2024-09-06 14:10:30,cron,2510447,activation,0 days 00:01:06,ML
10561704,157932116043,Goods,allowed,2024-09-16 12:31:15,2024-09-16 12:32:33,cron,1529447,activation,0 days 00:01:18,ML
11027984,155945699146,Goods,allowed,2024-09-02 21:16:44,2024-09-02 21:17:49,cron,2038886,activation,0 days 00:01:05,ML
11621179,158590892311,Goods,allowed,2024-09-20 17:45:42,2024-09-20 17:46:49,cron,383325546,activation,0 days 00:01:07,ML
12007654,159912840145,Goods,allowed,2024-09-29 08:00:57,2024-09-29 08:01:59,cron,506981,activation,0 days 00:01:02,ML
12009569,156033849425,Goods,allowed,2024-09-03 14:40:09,2024-09-03 14:41:12,cron,1759311,activation,0 days 00:01:03,ML
12256234,158282043181,Goods,allowed,2024-09-18 15:02:10,2024-09-18 15:03:14,cron,365823572,activation,0 days 00:01:04,ML
12286314,158003798019,Goods,allowed,2024-09-16 22:31:04,2024-09-16 22:32:11,cron,1612344,update,0 days 00:01:07,ML
12286314,158177053622,Goods,allowed,2024-09-17 21:57:50,2024-09-17 21:58:55,cron,1612344,activation,0 days 00:01:05,ML
12586514,155882805354,Goods,allowed,2024-09-02 14:26:39,2024-09-02 14:27:45,cron,2019547,activation,0 days 00:01:06,ML
12764199,158967330376,Goods,allowed,2024-09-23 09:58:57,2024-09-23 10:00:02,cron,369558813,activation,0 days 00:01:05,ML
13285059,156566412203,Goods,allowed,2024-09-06 20:51:47,2024-09-06 20:52:56,cron,371530311,activation,0 days 00:01:09,ML
13521049,156360084694,Goods,allowed,2024-09-05 13:24:14,2024-09-05 13:25:20,cron,1531131,activation,0 days 00:01:06,ML
13533869,158417826503,Goods,allowed,2024-09-19 13:30:05,2024-09-19 13:31:11,cron,3505900,activation,0 days 00:01:06,ML
14024764,156481414855,Goods,allowed,2024-09-06 10:25:08,2024-09-06 10:26:12,cron,376912246,update,0 days 00:01:04,ML
14024764,157511618164,Goods,allowed,2024-09-13 09:47:17,2024-09-13 09:48:20,cron,376912246,activation,0 days 00:01:03,ML
14312164,155801456990,Goods,allowed,2024-09-02 04:09:44,2024-09-02 04:10:52,cron,765596,activation,0 days 00:01:08,ML
15018389,155734484215,Goods,allowed,2024-09-01 14:34:35,2024-09-01 14:35:40,cron,2503869,activation,0 days 00:01:05,ML
16753559,159190269867,Goods,allowed,2024-09-24 18:44:06,2024-09-24 18:45:08,cron,110250010,activation,0 days 00:01:02,ML
16758909,160185571697,Goods,allowed,2024-09-30 18:50:18,2024-09-30 18:51:20,cron,6501554,activation,0 days 00:01:02,ML
18758934,156476423179,Goods,allowed,2024-09-06 10:28:41,2024-09-06 10:29:47,cron,2084670,activation,0 days 00:01:06,ML
19250314,157289858349,Goods,allowed,2024-09-11 18:32:00,2024-09-11 18:33:06,cron,148750023,activation,0 days 00:01:06,ML
21015739,157647057563,Goods,allowed,2024-09-14 12:09:54,2024-09-14 12:10:59,cron,1911700,activation,0 days 00:01:05,ML
21251109,157888889795,Goods,allowed,2024-09-16 08:11:16,2024-09-16 08:12:24,cron,1789031,activation,0 days 00:01:08,ML
21813819,157135927283,Goods,allowed,2024-09-10 17:14:40,2024-09-10 17:15:55,cron,204500135,activation,0 days 00:01:15,ML
22254274,158314445425,Goods,allowed,2024-09-18 20:45:52,2024-09-18 20:47:02,cron,1775629,update,0 days 00:01:10,ML
22254274,159162109207,Goods,allowed,2024-09-24 13:55:10,2024-09-24 13:56:16,cron,1775629,activation,0 days 00:01:06,ML
22287739,156890153620,Goods,allowed,2024-09-09 07:38:23,2024-09-09 07:39:27,cron,369407957,activation,0 days 00:01:04,ML
22750784,155751469134,Goods,allowed,2024-09-01 17:58:38,2024-09-01 17:59:49,cron,1751057,activation,0 days 00:01:11,ML
22801234,157995053409,Realty,allowed,2024-09-16 19:20:01,2024-09-16 19:21:06,cron,6250024,activation,0 days 00:01:05,ML
23251234,160023545295,Goods,allowed,2024-09-29 19:20:28,2024-09-29 19:21:45,cron,1501788,activation,0 days 00:01:17,ML
25502159,157867334885,Goods,allowed,2024-09-16 06:10:32,2024-09-16 06:11:36,cron,368929798,activation,0 days 00:01:04,ML
26255134,159596309913,Services,allowed,2024-09-27 01:56:02,2024-09-27 01:57:04,cron,369359626,update,0 days 00:01:02,ML
26507489,156996706182,Goods,allowed,2024-09-09 21:49:49,2024-09-09 21:50:56,cron,18250503,activation,0 days 00:01:07,ML
26520139,156177307422,Goods,allowed,2024-09-04 10:15:35,2024-09-04 10:16:41,cron,95250209,update,0 days 00:01:06,ML
26520139,158676290758,Goods,allowed,2024-09-21 07:07:51,2024-09-21 07:08:56,cron,95250209,activation,0 days 00:01:05,ML
27752644,156507106097,Goods,allowed,2024-09-06 08:43:33,2024-09-06 08:44:37,cron,2047405,activation,0 days 00:01:04,ML
28010184,159926985690,Goods,allowed,2024-09-29 11:22:10,2024-09-29 11:23:13,cron,7854,activation,0 days 00:01:03,ML
28266329,158694088760,Goods,allowed,2024-09-21 09:18:56,2024-09-21 09:20:03,cron,1907897,activation,0 days 00:01:07,ML
28293724,159736477856,Goods,allowed,2024-09-28 00:08:37,2024-09-28 00:09:40,cron,521257,activation,0 days 00:01:03,ML
29003404,157501749249,Goods,allowed,2024-09-13 10:44:10,2024-09-13 10:45:16,cron,1784178,activation,0 days 00:01:06,ML
30252554,158443288903,Goods,allowed,2024-09-19 16:20:06,2024-09-19 16:21:12,cron,48500347,update,0 days 00:01:06,ML
35002689,155794780451,Goods,allowed,2024-09-01 23:09:30,2024-09-01 23:10:37,cron,2015124,activation,0 days 00:01:07,ML
37004839,158568784323,Goods,allowed,2024-09-20 12:49:10,2024-09-20 12:50:17,cron,75500177,activation,0 days 00:01:07,ML
38005239,157232867842,Goods,allowed,2024-09-11 10:05:16,2024-09-11 10:06:20,cron,216750070,activation,0 days 00:01:04,ML
38524129,159974435916,Goods,allowed,2024-09-29 13:04:45,2024-09-29 13:05:46,cron,1836627,activation,0 days 00:01:01,ML
38759844,158524702764,Goods,allowed,2024-09-20 09:02:14,2024-09-20 09:27:21,cron,1907897,activation,0 days 00:25:07,ML
39751089,158538038472,Goods,allowed,2024-09-20 08:03:13,2024-09-20 08:04:19,cron,1003425,activation,0 days 00:01:06,ML
40501059,157994131849,Goods,allowed,2024-09-16 19:48:17,2024-09-16 19:49:23,cron,3259828,activation,0 days 00:01:06,ML
40501389,156656881792,Goods,allowed,2024-09-07 14:11:49,2024-09-07 14:12:53,cron,501211,activation,0 days 00:01:04,ML
42502759,158531214551,Goods,allowed,2024-09-20 09:13:04,2024-09-20 09:37:42,cron,39000618,activation,0 days 00:24:38,ML
43502729,156247280242,Goods,allowed,2024-09-04 19:19:42,2024-09-04 19:20:47,cron,170000529,activation,0 days 00:01:05,ML
44519849,157094527564,Goods,allowed,2024-09-10 12:04:15,2024-09-10 12:05:20,cron,4250261,activation,0 days 00:01:05,ML
45755219,155975062509,Goods,allowed,2024-09-03 02:03:25,2024-09-03 02:04:34,cron,1845937,activation,0 days 00:01:09,ML
49751039,155793267409,Goods,allowed,2024-09-01 23:00:21,2024-09-01 23:01:25,cron,2015124,activation,0 days 00:01:04,ML
54004699,155847001602,Goods,allowed,2024-09-02 09:12:32,2024-09-02 09:13:35,cron,223500083,activation,0 days 00:01:03,ML
54750974,157928428079,Goods,allowed,2024-09-16 12:59:42,2024-09-16 13:00:46,cron,184750043,activation,0 days 00:01:04,ML
55015814,157767439745,Goods,allowed,2024-09-15 15:02:50,2024-09-15 15:03:55,cron,1000086,activation,0 days 00:01:05,ML
58003904,159999520042,Goods,allowed,2024-09-30 00:27:21,2024-09-30 00:28:23,cron,750625,activation,0 days 00:01:02,ML
58006559,155727227371,Goods,allowed,2024-09-01 11:58:19,2024-09-01 11:59:24,cron,151750520,activation,0 days 00:01:05,ML
78001079,157671313440,Goods,allowed,2024-09-14 14:43:56,2024-09-14 14:45:01,cron,1798478,activation,0 days 00:01:05,ML
78001079,158325506255,Goods,allowed,2024-09-18 21:15:07,2024-09-18 21:16:13,cron,1798478,update,0 days 00:01:06,ML
78001079,158352619844,Goods,allowed,2024-09-19 03:19:10,2024-09-19 03:20:18,cron,1798478,update,0 days 00:01:08,ML
84500814,156542353433,Goods,allowed,2024-09-06 16:42:59,2024-09-06 16:44:04,cron,61000073,activation,0 days 00:01:05,ML
101003254,156483928791,Goods,allowed,2024-09-06 12:34:31,2024-09-06 12:35:42,cron,34000157,activation,0 days 00:01:11,ML
101003254,156642955516,Goods,allowed,2024-09-07 08:48:12,2024-09-07 08:49:18,cron,34000157,update,0 days 00:01:06,ML
103752779,156342856726,Goods,allowed,2024-09-05 11:42:18,2024-09-05 11:43:23,cron,2004929,update,0 days 00:01:05,ML
110500339,156543248321,Goods,allowed,2024-09-06 17:51:50,2024-09-06 17:52:53,cron,365590351,activation,0 days 00:01:03,ML
110750234,158939897969,Goods,allowed,2024-09-23 07:40:50,2024-09-23 07:41:55,cron,1789031,activation,0 days 00:01:05,ML
114500774,158519766495,Goods,allowed,2024-09-20 07:54:02,2024-09-20 07:55:07,cron,1518611,activation,0 days 00:01:05,ML
116001284,158083035157,Goods,allowed,2024-09-17 10:43:17,2024-09-17 10:44:20,cron,1767909,activation,0 days 00:01:03,ML
117000599,159924574349,Goods,allowed,2024-09-29 10:07:03,2024-09-29 10:08:04,cron,256727,activation,0 days 00:01:01,ML
120001454,159196160632,Goods,allowed,2024-09-24 21:02:53,2024-09-24 21:03:56,cron,2041615,activation,0 days 00:01:03,ML
137501089,156887203662,Goods,allowed,2024-09-09 09:18:19,2024-09-09 09:19:23,cron,761217,activation,0 days 00:01:04,ML
145500799,156064369908,Goods,allowed,2024-09-03 18:28:13,2024-09-03 18:29:20,cron,385240949,activation,0 days 00:01:07,ML
156750759,158826601147,Goods,allowed,2024-09-22 13:08:15,2024-09-22 13:09:19,cron,1514048,activation,0 days 00:01:04,ML
172752214,157407877566,Goods,allowed,2024-09-12 13:08:15,2024-09-12 13:09:20,cron,163500590,activation,0 days 00:01:05,ML
176000869,155807760380,Goods,allowed,2024-09-02 00:49:20,2024-09-02 00:50:25,cron,167250021,activation,0 days 00:01:05,ML
183509964,158714865495,Goods,allowed,2024-09-21 15:33:45,2024-09-21 15:34:51,cron,389898880,activation,0 days 00:01:06,ML
193752884,159854918360,Goods,allowed,2024-09-28 20:53:40,2024-09-28 20:54:42,cron,2750397,activation,0 days 00:01:02,ML
234751169,158298666847,Goods,allowed,2024-09-18 16:46:20,2024-09-18 17:23:31,cron,2032003,activation,0 days 00:37:11,ML
235001299,158716775029,Goods,allowed,2024-09-21 14:45:34,2024-09-21 14:46:39,cron,3262391,activation,0 days 00:01:05,ML
271500809,157949179258,Goods,allowed,2024-09-16 14:51:28,2024-09-16 14:52:33,cron,221500480,activation,0 days 00:01:05,ML
271750574,157740365941,Goods,allowed,2024-09-15 05:06:25,2024-09-15 05:07:34,cron,1823271,update,0 days 00:01:09,ML
274501084,159441480921,Goods,allowed,2024-09-26 09:49:35,2024-09-26 09:50:36,cron,1522242,activation,0 days 00:01:01,ML
279423329,156765148159,Goods,allowed,2024-09-08 11:46:21,2024-09-08 11:47:27,cron,364881610,activation,0 days 00:01:06,ML
287662069,158160503854,Realty,allowed,2024-09-17 21:29:45,2024-09-17 21:30:49,cron,364922730,activation,0 days 00:01:04,ML
287662069,158152763493,Realty,allowed,2024-09-17 21:37:34,2024-09-17 21:38:39,cron,364922730,update,0 days 00:01:05,ML
298885524,156671954209,Goods,allowed,2024-09-07 12:36:27,2024-09-07 12:37:33,cron,366238676,update,0 days 00:01:06,ML
298885524,159206257124,Goods,allowed,2024-09-24 20:09:00,2024-09-24 20:10:00,cron,366238676,activation,0 days 00:01:00,ML
305165364,156145942484,Services,allowed,2024-09-04 08:10:29,2024-09-04 08:11:32,cron,366731839,activation,0 days 00:01:03,ML
308095714,159513113672,Goods,allowed,2024-09-26 16:54:01,2024-09-26 16:55:03,cron,379567107,activation,0 days 00:01:02,ML
309904229,157065903652,Goods,allowed,2024-09-10 09:30:22,2024-09-10 09:31:27,cron,368283410,activation,0 days 00:01:05,ML
309904229,157939276565,Goods,allowed,2024-09-16 13:42:27,2024-09-16 13:43:30,cron,368283410,update,0 days 00:01:03,ML
309904229,157954042083,Goods,allowed,2024-09-16 13:48:52,2024-09-16 13:49:58,cron,368283410,update,0 days 00:01:06,ML
309945979,158580501613,Goods,allowed,2024-09-20 14:51:36,2024-09-20 14:52:43,cron,1004300,activation,0 days 00:01:07,ML
311616064,157562422023,Goods,allowed,2024-09-13 17:25:46,2024-09-13 17:26:50,cron,61000139,activation,0 days 00:01:04,ML
311920129,158640502558,Transport,allowed,2024-09-20 22:45:02,2024-09-20 22:46:11,cron,369296987,update,0 days 00:01:09,ML
311920129,158653816983,Transport,allowed,2024-09-21 01:58:15,2024-09-21 01:59:23,cron,369296987,activation,0 days 00:01:08,ML
313741189,157212154530,Goods,allowed,2024-09-11 07:08:51,2024-09-11 07:09:57,cron,351000294,activation,0 days 00:01:06,ML
315836924,155914254343,Services,allowed,2024-09-02 19:42:59,2024-09-02 19:44:04,cron,3252402,update,0 days 00:01:05,ML
315836924,157440507980,Services,allowed,2024-09-12 20:28:06,2024-09-12 20:29:11,cron,3252402,activation,0 days 00:01:05,ML
316999259,157082611044,Goods,allowed,2024-09-10 10:55:30,2024-09-10 10:56:35,cron,364982351,activation,0 days 00:01:05,ML
318920184,156602688147,Goods,allowed,2024-09-07 05:14:33,2024-09-07 05:15:42,cron,19500300,activation,0 days 00:01:09,ML
321010654,156408951324,Goods,allowed,2024-09-05 20:20:43,2024-09-05 20:21:49,cron,20750267,activation,0 days 00:01:06,ML
321871584,158251066283,Goods,allowed,2024-09-18 11:29:02,2024-09-18 11:31:18,cron,369455943,update,0 days 00:02:16,ML
321871584,159298389659,Goods,allowed,2024-09-25 10:24:50,2024-09-25 10:25:52,cron,369455943,activation,0 days 00:01:02,ML
323689789,157564264400,Goods,allowed,2024-09-13 18:07:11,2024-09-13 18:08:16,cron,369674340,activation,0 days 00:01:05,ML
327484659,156153945153,Goods,allowed,2024-09-04 09:39:06,2024-09-04 09:40:10,cron,1754442,activation,0 days 00:01:04,ML
330328829,155725287029,Goods,allowed,2024-09-01 10:07:34,2024-09-01 10:08:37,cron,365283249,update,0 days 00:01:03,ML
330328829,155839247420,Goods,allowed,2024-09-02 10:30:05,2024-09-02 10:31:13,cron,365283249,update,0 days 00:01:08,ML
330328829,157504368384,Goods,allowed,2024-09-13 09:47:12,2024-09-13 09:48:18,cron,365283249,update,0 days 00:01:06,ML
330328829,158924337145,Goods,allowed,2024-09-23 02:56:59,2024-09-23 02:58:04,cron,365283249,update,0 days 00:01:05,ML
331035899,155746757827,Goods,allowed,2024-09-01 14:51:37,2024-09-01 14:52:42,cron,44000044,activation,0 days 00:01:05,ML
331462359,157746716871,Services,allowed,2024-09-15 07:35:47,2024-09-15 07:36:53,cron,366370678,activation,0 days 00:01:06,ML
331923929,157529278827,Goods,allowed,2024-09-13 13:21:44,2024-09-13 13:22:53,cron,365001295,activation,0 days 00:01:09,ML
331923929,157527814686,Goods,allowed,2024-09-13 13:43:54,2024-09-13 13:45:00,cron,365001295,update,0 days 00:01:06,ML
334975009,158068522990,Realty,allowed,2024-09-17 13:01:57,2024-09-17 13:03:01,cron,372267427,activation,0 days 00:01:04,ML
335807074,157690984072,Services,allowed,2024-09-14 21:21:39,2024-09-14 21:22:47,cron,371498589,activation,0 days 00:01:08,ML
337438559,157163417533,Goods,allowed,2024-09-10 20:39:03,2024-09-10 20:40:07,cron,372321776,activation,0 days 00:01:04,ML
338531064,159161870131,Goods,allowed,2024-09-24 15:27:01,2024-09-24 15:29:50,cron,2056392,activation,0 days 00:02:49,ML
340955194,157553220668,Goods,allowed,2024-09-13 17:48:40,2024-09-13 17:50:06,cron,63500045,activation,0 days 00:01:26,ML
342680674,157581937221,Goods,allowed,2024-09-13 20:35:21,2024-09-13 20:36:26,cron,1557458,activation,0 days 00:01:05,ML
350723444,159025975492,Goods,allowed,2024-09-23 20:19:09,2024-09-23 20:20:13,cron,236500279,activation,0 days 00:01:04,ML
354655154,157620617890,Goods,allowed,2024-09-14 04:43:46,2024-09-14 04:44:51,cron,12000318,activation,0 days 00:01:05,ML
355542474,157482237589,Goods,allowed,2024-09-13 07:00:47,2024-09-13 07:01:52,cron,1771853,activation,0 days 00:01:05,ML
356901189,157755247696,Goods,allowed,2024-09-15 10:31:03,2024-09-15 10:32:08,cron,366983439,activation,0 days 00:01:05,ML
376192064,158439187832,Goods,allowed,2024-09-19 17:21:50,2024-09-19 17:22:54,cron,374225718,activation,0 days 00:01:04,ML
377084499,159523970862,Goods,allowed,2024-09-26 17:39:46,2024-09-26 17:40:49,cron,368458926,update,0 days 00:01:03,ML
378868864,156236989653,Goods,allowed,2024-09-04 19:03:31,2024-09-04 19:04:53,cron,369785470,activation,0 days 00:01:22,ML
382322719,159682456308,Goods,allowed,2024-09-27 17:24:43,2024-09-27 17:25:46,cron,376338668,activation,0 days 00:01:03,ML
382782734,159155393188,Goods,allowed,2024-09-24 15:37:31,2024-09-24 15:39:08,cron,376141675,activation,0 days 00:01:37,ML
382782734,159460538187,Goods,allowed,2024-09-26 13:25:03,2024-09-26 13:26:05,cron,376141675,update,0 days 00:01:02,ML
385844819,160101082003,Goods,allowed,2024-09-30 09:30:34,2024-09-30 09:31:42,cron,368086198,update,0 days 00:01:08,ML
387111494,156363722682,Goods,allowed,2024-09-05 14:27:49,2024-09-05 14:28:55,cron,371557869,update,0 days 00:01:06,ML
387111494,159695808240,Goods,allowed,2024-09-27 18:07:43,2024-09-27 18:08:46,cron,371557869,activation,0 days 00:01:03,ML
387304784,160156528899,Goods,allowed,2024-09-30 16:07:59,2024-09-30 16:10:24,cron,9257,activation,0 days 00:02:25,ML
389451019,155992282790,Goods,allowed,2024-09-03 14:05:05,2024-09-03 14:06:09,cron,3262391,activation,0 days 00:01:04,ML
390901509,157311078088,Goods,allowed,2024-09-11 21:44:59,2024-09-11 21:46:06,cron,376925616,activation,0 days 00:01:07,ML
393231999,158709445469,Goods,allowed,2024-09-21 14:10:19,2024-09-21 14:11:23,cron,252557,activation,0 days 00:01:04,ML
402289289,155917638852,Goods,allowed,2024-09-02 20:45:28,2024-09-02 20:46:34,cron,370138912,activation,0 days 00:01:06,ML
402289289,157810176177,Goods,allowed,2024-09-15 17:34:24,2024-09-15 17:35:32,cron,370138912,update,0 days 00:01:08,ML
405079504,159086253644,Goods,allowed,2024-09-24 01:52:55,2024-09-24 01:54:00,cron,373034374,activation,0 days 00:01:05,ML
405079504,159318266087,Goods,allowed,2024-09-25 13:06:31,2024-09-25 13:07:33,cron,373034374,update,0 days 00:01:02,ML
405079504,159449878504,Goods,allowed,2024-09-26 10:40:13,2024-09-26 10:41:15,cron,373034374,update,0 days 00:01:02,ML
407654009,156371040855,Goods,allowed,2024-09-05 14:57:20,2024-09-05 14:58:25,cron,383194509,activation,0 days 00:01:05,ML
410997884,156875483517,Goods,allowed,2024-09-09 06:11:04,2024-09-09 06:12:08,cron,374792083,activation,0 days 00:01:04,ML
411620904,156331312089,Goods,allowed,2024-09-05 09:46:23,2024-09-05 09:47:29,cron,370486388,activation,0 days 00:01:06,ML
416061344,157743217896,Realty,allowed,2024-09-15 07:35:55,2024-09-15 07:37:00,cron,382657252,activation,0 days 00:01:05,ML
418779009,156467334961,Realty,allowed,2024-09-06 06:42:47,2024-09-06 06:43:51,cron,290500075,update,0 days 00:01:04,ML
418779009,159515028809,Realty,allowed,2024-09-26 16:17:46,2024-09-26 16:18:49,cron,290500075,activation,0 days 00:01:03,ML
422955709,159136462236,Goods,allowed,2024-09-24 12:56:54,2024-09-24 12:57:59,cron,370764677,activation,0 days 00:01:05,ML
424162329,157512868542,Goods,allowed,2024-09-13 11:47:16,2024-09-13 11:48:21,cron,376078335,activation,0 days 00:01:05,ML
425640394,157111951644,Vacancies,allowed,2024-09-10 15:25:13,2024-09-10 15:26:18,cron,368957679,update,0 days 00:01:05,ML
431821199,156762909511,Services,allowed,2024-09-08 09:43:15,2024-09-08 09:44:20,cron,385784419,activation,0 days 00:01:05,ML
